reference_month,region_level,region_code,region_label,accommodation_scope,measure,total,single,single_parent_1_child,single_parent_2_children,couple_no_child,couple_1_child,couple_2_children
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,recognised_kdu_total_eur_per_bg,450.3794,371.6862,517.0522,605.4476,493.8823,608.4638,674.5968
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,recognised_kdu_total_eur_per_person,311.6238,371.6859,246.9947,195.7560,239.8279,193.2686,163.0544
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,recognised_kdu_total_eur_per_sqm,9.2643,9.3671,8.9626,9.0107,8.7347,9.2857,9.6929
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,recognised_unterkunftskosten_eur_per_bg,276.0962,233.1552,311.7509,359.0779,296.1795,370.2554,392.7353
2026-04,jobcenter,t03002,"Vorpommern-Greifswald, JC",miete,recognised_unterkunftskosten_eur_per_sqm,5.6995,5.8617,5.4140,5.3306,5.2170,5.5988,5.6700
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,actual_bruttokaltmiete_eur_per_bg,370.8772,311.5372,420.0500,478.4774,407.7106,476.6250,531.0945
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,actual_bruttokaltmiete_eur_per_sqm,7.2583,7.2846,7.2705,7.0747,7.0088,7.2414,7.8031
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,actual_heizkosten_eur_per_bg,101.0177,80.1729,119.2444,136.1218,112.3483,140.5458,149.7510
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,actual_heizkosten_eur_per_sqm,1.9630,1.8784,2.0690,2.0323,1.9381,2.1927,2.2725
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,actual_kalte_betriebskosten_eur_per_bg,87.8177,70.7647,100.4247,115.7036,98.6421,120.9558,137.7351
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,actual_kalte_betriebskosten_eur_per_sqm,1.7179,1.6741,1.7292,1.7199,1.7042,1.8787,2.0388
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,actual_kdu_total_eur_per_bg,471.8949,391.7101,539.2944,614.5992,520.0589,617.1709,680.8455
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,actual_kdu_total_eur_per_sqm,9.2213,9.1630,9.3394,9.1070,8.9469,9.4341,10.0756
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,actual_unterkunftskosten_eur_per_bg,283.0594,240.7725,319.6253,362.7738,309.0685,355.6693,393.3594
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,actual_unterkunftskosten_eur_per_sqm,5.5404,5.6105,5.5413,5.3549,5.3047,5.3627,5.7643
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,bg_stock,10229.0000,6420.0000,1046.0000,517.0000,764.0000,365.0000,283.0000
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,bg_stock_with_recognised_kdu,10059.0000,6277.0000,1037.0000,512.0000,757.0000,363.0000,283.0000
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,mean_floor_area_sqm_per_bg,52.6906,44.2354,60.1499,68.0381,59.2622,66.8167,72.7720
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,recognised_bruttokaltmiete_eur_per_bg,362.9978,305.5844,408.2988,464.6155,399.1315,463.9296,520.2819
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,recognised_bruttokaltmiete_eur_per_sqm,7.1329,7.1700,7.0979,6.9042,6.8800,7.0806,7.6911
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,recognised_heizkosten_eur_per_bg,97.6766,77.7330,113.3332,131.8372,106.6172,135.8189,147.6852
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,recognised_heizkosten_eur_per_sqm,1.9061,1.8300,1.9756,1.9707,1.8457,2.1305,2.2430
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,recognised_kalte_betriebskosten_eur_per_bg,87.0221,70.0609,99.6005,114.1137,98.1541,119.8344,136.2213
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,recognised_kalte_betriebskosten_eur_per_sqm,1.7025,1.6575,1.7163,1.6984,1.6966,1.8609,2.0221
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,recognised_kdu_total_eur_per_bg,460.6744,383.3174,521.6320,596.4527,505.7488,599.7485,667.9671
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,recognised_kdu_total_eur_per_person,318.9787,383.3172,251.2103,192.3697,242.9645,190.7444,162.9603
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,recognised_kdu_total_eur_per_sqm,9.0391,9.0000,9.0736,8.8749,8.7257,9.2111,9.9340
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,recognised_unterkunftskosten_eur_per_bg,275.9757,235.5235,308.6984,350.5019,300.9774,344.0953,384.0606
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,recognised_unterkunftskosten_eur_per_sqm,5.4304,5.5125,5.3816,5.2058,5.1834,5.2197,5.6690
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,actual_bruttokaltmiete_eur_per_bg,430.8956,368.4903,499.2090,558.6159,504.6256,563.5276,607.9173
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,actual_bruttokaltmiete_eur_per_sqm,9.7686,10.0949,8.8028,9.0959,9.7107,9.1831,9.5807
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,actual_heizkosten_eur_per_bg,77.0500,61.8497,96.8472,106.8916,89.5679,104.4564,121.1768
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,actual_heizkosten_eur_per_sqm,1.6223,1.5863,1.6629,1.7037,1.6240,1.6133,1.7781
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,actual_kalte_betriebskosten_eur_per_bg,95.9978,78.8565,115.4836,134.2372,116.5739,129.6553,141.6745
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,actual_kalte_betriebskosten_eur_per_sqm,2.0459,2.0366,1.9888,2.1191,2.1395,2.0265,2.0556
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,actual_kdu_total_eur_per_bg,507.9456,430.3400,596.0562,665.5075,594.1935,667.9840,729.0941
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,actual_kdu_total_eur_per_sqm,11.3909,11.6812,10.4657,10.7996,11.3347,10.7965,11.3588
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,actual_unterkunftskosten_eur_per_bg,334.8979,289.6337,383.7254,424.3788,388.0517,433.8722,466.2428
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,actual_unterkunftskosten_eur_per_sqm,7.7226,8.0583,6.8139,6.9768,7.5713,7.1567,7.5251
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,bg_stock,8636.0000,5603.0000,915.0000,436.0000,619.0000,301.0000,246.0000
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,bg_stock_with_recognised_kdu,8558.0000,5540.0000,906.0000,434.0000,616.0000,301.0000,246.0000
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,mean_floor_area_sqm_per_bg,48.6404,40.7190,59.1012,66.0562,57.3344,64.1307,68.0168
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,recognised_bruttokaltmiete_eur_per_bg,427.2759,365.0427,495.2002,550.5033,501.3300,560.2432,607.7710
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,recognised_bruttokaltmiete_eur_per_sqm,9.6932,10.0071,8.7467,9.0017,9.6584,9.1337,9.5783
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,recognised_heizkosten_eur_per_bg,76.8129,61.5194,96.8472,106.7280,89.4441,104.4564,121.1768
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,recognised_heizkosten_eur_per_sqm,1.6175,1.5795,1.6629,1.7013,1.6220,1.6133,1.7781
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,recognised_kalte_betriebskosten_eur_per_bg,95.3289,78.2449,114.5294,132.7812,116.0934,128.9876,141.6745
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,recognised_kalte_betriebskosten_eur_per_sqm,2.0311,2.0200,1.9740,2.0974,2.1314,2.0145,2.0556
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,recognised_kdu_total_eur_per_bg,504.0888,426.5621,592.0474,657.2313,590.7741,664.6997,728.9478
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,recognised_kdu_total_eur_per_person,362.0696,426.5620,284.1347,214.5402,282.0659,212.7724,177.1557
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,recognised_kdu_total_eur_per_sqm,11.3108,11.5865,10.4096,10.7030,11.2804,10.7471,11.3565
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,recognised_unterkunftskosten_eur_per_bg,331.9470,286.7978,380.6708,417.7221,385.2366,431.2556,466.0965
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,recognised_unterkunftskosten_eur_per_sqm,7.6622,7.9870,6.7726,6.9043,7.5270,7.1192,7.5228
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,actual_bruttokaltmiete_eur_per_bg,419.7723,334.1836,471.5687,556.9033,443.1930,540.8200,617.7769
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,actual_bruttokaltmiete_eur_per_sqm,8.1554,7.9986,8.2361,8.2247,7.7499,8.3253,8.0969
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,actual_heizkosten_eur_per_bg,95.6385,74.3581,114.4786,127.4426,106.2215,123.5143,152.8544
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,actual_heizkosten_eur_per_sqm,1.8652,1.7843,2.0761,1.8988,1.8663,1.9324,2.1683
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,actual_kalte_betriebskosten_eur_per_bg,74.3004,58.9080,87.2471,99.2151,82.8358,98.7200,117.4694
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,actual_kalte_betriebskosten_eur_per_sqm,1.4633,1.4338,1.5442,1.4715,1.4603,1.5085,1.6063
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,actual_kdu_total_eur_per_bg,515.4108,408.5416,586.0472,684.3459,549.4145,664.3343,770.6313
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,actual_kdu_total_eur_per_sqm,10.0206,9.7828,10.3122,10.1234,9.6162,10.2577,10.2652
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,actual_unterkunftskosten_eur_per_bg,345.4718,275.2756,384.3215,457.6881,360.3572,442.1000,500.3076
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,actual_unterkunftskosten_eur_per_sqm,6.6921,6.5648,6.6920,6.7532,6.2896,6.8168,6.4906
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,bg_stock,5635.0000,3340.0000,654.0000,303.0000,442.0000,213.0000,195.0000
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,bg_stock_with_recognised_kdu,5554.0000,3276.0000,645.0000,302.0000,439.0000,213.0000,193.0000
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,mean_floor_area_sqm_per_bg,54.3055,44.7854,60.6975,69.3086,59.5378,68.4143,76.8226
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,recognised_bruttokaltmiete_eur_per_bg,412.4231,327.4562,461.2324,550.6505,438.6909,529.0335,612.9635
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,recognised_bruttokaltmiete_eur_per_sqm,8.0378,7.8696,8.0986,8.1439,7.6916,8.2011,8.0382
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,recognised_heizkosten_eur_per_bg,94.7883,73.4804,113.7630,126.4241,105.4167,123.1554,151.7724
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,recognised_heizkosten_eur_per_sqm,1.8517,1.7688,2.0655,1.8854,1.8548,1.9263,2.1537
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,recognised_kalte_betriebskosten_eur_per_bg,73.4943,58.0436,86.5074,98.1909,82.3982,97.6321,117.1149
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,recognised_kalte_betriebskosten_eur_per_sqm,1.4468,1.4129,1.5325,1.4595,1.4544,1.4940,1.6017
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,recognised_kdu_total_eur_per_bg,507.2113,400.9365,574.9954,677.0746,544.1076,652.1889,764.7359
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,recognised_kdu_total_eur_per_person,333.3615,400.9364,275.2299,221.5021,263.2827,206.5603,183.7240
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,recognised_kdu_total_eur_per_sqm,9.8895,9.6384,10.1641,10.0293,9.5464,10.1274,10.1919
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,recognised_unterkunftskosten_eur_per_bg,338.9288,269.4126,374.7250,452.4596,356.2926,431.4014,495.8485
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,recognised_unterkunftskosten_eur_per_sqm,6.5911,6.4567,6.5661,6.6845,6.2372,6.7071,6.4365
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,actual_bruttokaltmiete_eur_per_bg,402.3402,326.9880,454.4489,518.0143,461.4179,522.3429,576.1962
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,actual_bruttokaltmiete_eur_per_sqm,8.3692,8.5458,8.0375,8.1463,8.0225,8.2065,8.2247
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,actual_heizkosten_eur_per_bg,79.7269,61.7801,86.3277,105.4785,85.9956,108.5792,123.1430
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,actual_heizkosten_eur_per_sqm,1.6751,1.6624,1.5470,1.6816,1.5616,1.7534,1.7769
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,actual_kalte_betriebskosten_eur_per_bg,81.7699,64.2999,88.9234,109.1203,89.2157,111.1755,120.8399
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,actual_kalte_betriebskosten_eur_per_sqm,1.7274,1.7276,1.6019,1.7483,1.6148,1.8092,1.7620
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,actual_kdu_total_eur_per_bg,482.0671,388.7681,540.7766,623.4928,547.4136,630.9221,699.3392
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,actual_kdu_total_eur_per_sqm,10.0443,10.2082,9.5844,9.8278,9.5841,9.9599,10.0017
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,actual_unterkunftskosten_eur_per_bg,320.5703,262.6881,365.5255,408.8941,372.2023,411.1674,455.3563
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,actual_unterkunftskosten_eur_per_sqm,6.6419,6.8182,6.4356,6.3980,6.4077,6.3973,6.4628
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,bg_stock,5452.0000,3268.0000,552.0000,275.0000,405.0000,232.0000,209.0000
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,bg_stock_with_recognised_kdu,5381.0000,3203.0000,549.0000,275.0000,404.0000,231.0000,209.0000
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,mean_floor_area_sqm_per_bg,50.3498,40.7812,56.8808,63.7851,59.4968,63.6339,73.7370
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,recognised_bruttokaltmiete_eur_per_bg,391.4432,318.1241,438.8342,505.8233,441.6864,510.5581,564.0001
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,recognised_bruttokaltmiete_eur_per_sqm,8.1922,8.3770,7.7775,7.9849,7.7667,8.0642,8.0701
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,recognised_heizkosten_eur_per_bg,79.0981,61.2026,85.4117,104.2957,85.4470,106.6380,123.1425
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,recognised_heizkosten_eur_per_sqm,1.6630,1.6494,1.5329,1.6621,1.5541,1.7246,1.7769
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,recognised_kalte_betriebskosten_eur_per_bg,80.8379,63.3147,87.9703,107.9787,87.5983,109.9681,120.6724
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,recognised_kalte_betriebskosten_eur_per_sqm,1.7085,1.7048,1.5845,1.7315,1.5923,1.7917,1.7595
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,recognised_kdu_total_eur_per_bg,470.5413,379.3266,524.2459,610.1190,527.1334,617.1961,687.1427
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,recognised_kdu_total_eur_per_person,310.9537,379.3264,250.5701,197.9416,247.1838,191.0878,165.6478
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,recognised_kdu_total_eur_per_sqm,9.8552,10.0264,9.3104,9.6470,9.3209,9.7888,9.8470
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,recognised_unterkunftskosten_eur_per_bg,310.6053,254.8094,350.8639,397.8446,354.0881,400.5900,443.3277
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,recognised_unterkunftskosten_eur_per_sqm,6.4837,6.6721,6.1930,6.2534,6.1744,6.2726,6.3106
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,actual_bruttokaltmiete_eur_per_bg,392.5226,322.9612,438.3831,508.2534,434.7792,518.4448,581.6419
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,actual_bruttokaltmiete_eur_per_sqm,8.2046,8.2516,8.3721,7.8239,7.7834,8.3986,8.5654
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,actual_heizkosten_eur_per_bg,88.8896,70.4667,100.7618,120.0739,96.4848,122.0911,137.6505
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,actual_heizkosten_eur_per_sqm,1.8408,1.7918,1.9061,1.8894,1.7591,1.9411,2.1023
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,actual_kalte_betriebskosten_eur_per_bg,69.9102,56.5416,76.1941,92.9455,74.2625,94.7934,110.7754
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,actual_kalte_betriebskosten_eur_per_sqm,1.5019,1.5024,1.4617,1.4698,1.4010,1.5495,1.7120
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,actual_kdu_total_eur_per_bg,481.4122,393.4279,539.1449,628.3273,531.2640,640.5359,719.2924
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,actual_kdu_total_eur_per_sqm,10.0454,10.0434,10.2782,9.7133,9.5424,10.3397,10.6676
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,actual_unterkunftskosten_eur_per_bg,322.6125,266.4196,362.1890,415.3079,360.5167,423.6514,470.8665
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,actual_unterkunftskosten_eur_per_sqm,6.7027,6.7492,6.9105,6.3541,6.3824,6.8491,6.8533
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,bg_stock,4304.0000,2597.0000,427.0000,212.0000,381.0000,193.0000,134.0000
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,bg_stock_with_recognised_kdu,4226.0000,2533.0000,422.0000,211.0000,378.0000,192.0000,133.0000
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,mean_floor_area_sqm_per_bg,50.7858,42.0514,57.5014,65.4167,57.5205,63.4028,72.3053
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,recognised_bruttokaltmiete_eur_per_bg,382.6146,315.2735,427.4160,496.6517,414.0406,506.7354,572.6881
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,recognised_bruttokaltmiete_eur_per_sqm,8.0405,8.0968,8.2042,7.6679,7.4842,8.2586,8.4686
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,recognised_heizkosten_eur_per_bg,86.2300,68.3635,97.8677,115.2668,91.8458,119.4002,134.7538
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,recognised_heizkosten_eur_per_sqm,1.7958,1.7509,1.8575,1.8164,1.6918,1.9076,2.0588
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,recognised_kalte_betriebskosten_eur_per_bg,69.5048,56.1209,75.2499,92.9266,74.0109,94.6420,110.7754
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,recognised_kalte_betriebskosten_eur_per_sqm,1.4945,1.4940,1.4484,1.4694,1.3959,1.5477,1.7120
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,recognised_kdu_total_eur_per_bg,468.8446,383.6370,525.2837,611.9184,505.8864,626.1356,707.4419
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,recognised_kdu_total_eur_per_person,315.6689,383.6367,248.7104,196.9396,242.4457,194.0645,169.9636
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,recognised_kdu_total_eur_per_sqm,9.8363,9.8478,10.0616,9.4843,9.1759,10.1662,10.5275
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,recognised_unterkunftskosten_eur_per_bg,313.1099,259.1526,352.1660,403.7251,340.0296,412.0934,461.9127
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,recognised_unterkunftskosten_eur_per_sqm,6.5460,6.6029,6.7557,6.1985,6.0882,6.7109,6.7566
2026-04,jobcenter,t03324,"Ludwigslust-Parchim, JC",miete,actual_bruttokaltmiete_eur_per_bg,389.4968,319.1598,419.7211,477.9636,407.0198,488.4641,550.6979
2026-04,jobcenter,t03324,"Ludwigslust-Parchim, JC",miete,actual_bruttokaltmiete_eur_per_sqm,7.3793,7.4411,7.1823,7.2351,6.9229,7.4827,7.5990
2026-04,jobcenter,t03324,"Ludwigslust-Parchim, JC",miete,actual_heizkosten_eur_per_bg,90.1400,71.2977,100.5824,121.5160,100.1959,115.1867,125.9838
2026-04,jobcenter,t03324,"Ludwigslust-Parchim, JC",miete,actual_heizkosten_eur_per_sqm,1.7117,1.6579,1.7578,1.8607,1.7357,1.8025,1.7708
2026-04,jobcenter,t03324,"Ludwigslust-Parchim, JC",miete,actual_kalte_betriebskosten_eur_per_bg,72.3554,57.3630,77.9416,93.8519,78.7629,90.3156,99.4170
2026-04,jobcenter,t03324,"Ludwigslust-Parchim, JC",miete,actual_kalte_betriebskosten_eur_per_sqm,1.3746,1.3413,1.3602,1.4189,1.3698,1.4064,1.4191
2026-04,jobcenter,t03324,"Ludwigslust-Parchim, JC",miete,actual_kdu_total_eur_per_bg,479.6368,390.4575,520.3035,599.4795,507.2157,603.6508,676.6817
2026-04,jobcenter,t03324,"Ludwigslust-Parchim, JC",miete,actual_kdu_total_eur_per_sqm,9.0910,9.0991,8.9400,9.0958,8.6586,9.2852,9.3698
2026-04,jobcenter,t03324,"Ludwigslust-Parchim, JC",miete,actual_unterkunftskosten_eur_per_bg,317.1415,261.7968,341.7795,384.1117,328.2570,398.1485,451.2809
2026-04,jobcenter,t03324,"Ludwigslust-Parchim, JC",miete,actual_unterkunftskosten_eur_per_sqm,6.0047,6.0998,5.8221,5.8163,5.5531,6.0763,6.1799
