reference_month,region_level,region_code,region_label,accommodation_scope,measure,total,1_person,2_persons,3_persons,4_persons,5_persons,6_or_more_persons
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,recognised_heizkosten_eur_per_sqm,1.9061,1.8021,1.9143,2.0341,2.1663,2.2078,2.5792
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,recognised_kalte_betriebskosten_eur_per_bg,92.1417,72.6950,98.4066,115.7466,137.5652,153.1879,180.6887
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,recognised_kalte_betriebskosten_eur_per_sqm,1.7025,1.6446,1.6864,1.7633,1.9181,1.9298,2.0632
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,recognised_kdu_total_eur_per_bg,487.0209,399.0911,517.4157,595.7727,685.9519,742.8658,899.3040
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,recognised_kdu_total_eur_per_person,318.9787,399.0911,258.7078,198.5909,171.4880,148.5732,135.8326
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,recognised_kdu_total_eur_per_sqm,9.0391,8.9795,8.8979,9.0032,9.5602,9.2556,10.1569
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,recognised_unterkunftskosten_eur_per_bg,291.2426,245.9778,308.2999,346.9836,394.2039,414.2695,501.8730
2026-04,jobcenter,t03102,"Mecklenburgische Seenplatte, JC",miete,recognised_unterkunftskosten_eur_per_sqm,5.4304,5.5327,5.2972,5.2059,5.4758,5.1180,5.5145
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,actual_bruttokaltmiete_eur_per_bg,456.2100,383.7376,506.3703,568.2826,601.6334,654.4416,838.4354
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,actual_bruttokaltmiete_eur_per_sqm,9.7686,10.0195,9.3656,9.3590,9.3947,9.1985,11.0783
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,actual_heizkosten_eur_per_bg,81.8501,64.1203,92.0307,107.6621,123.2762,148.1684,169.9555
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,actual_heizkosten_eur_per_sqm,1.6223,1.5582,1.6250,1.7262,1.8072,1.9099,2.1137
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,actual_kalte_betriebskosten_eur_per_bg,101.8609,81.7634,115.3599,135.1802,149.5859,155.1971,175.8269
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,actual_kalte_betriebskosten_eur_per_sqm,2.0459,2.0044,2.0556,2.1600,2.1857,2.0178,2.1701
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,actual_kdu_total_eur_per_bg,538.0601,447.8578,598.4010,675.9447,724.9097,802.6100,1008.3909
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,actual_kdu_total_eur_per_person,365.0859,447.8578,299.2005,225.3149,181.2274,160.5220,149.8179
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,actual_kdu_total_eur_per_sqm,11.3909,11.5777,10.9906,11.0852,11.2019,11.1084,13.1920
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,actual_unterkunftskosten_eur_per_bg,354.3491,301.9741,391.0104,433.1024,452.0476,499.2444,662.6085
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,actual_unterkunftskosten_eur_per_sqm,7.7226,8.0151,7.3100,7.1991,7.2090,7.1807,8.9082
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,bg_stock,8636.0000,5000.0000,1867.0000,967.0000,468.0000,193.0000,141.0000
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,bg_stock_with_recognised_kdu,8558.0000,4958.0000,1847.0000,953.0000,467.0000,192.0000,141.0000
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,bg_stock_with_recognised_kdu_and_floor_area,8474.0000,4896.0000,1828.0000,952.0000,467.0000,192.0000,139.0000
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,mean_floor_area_sqm_per_bg,51.4233,42.3670,58.5470,65.5630,69.9550,75.5521,84.2950
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,mean_floor_area_sqm_per_person,34.7637,42.3670,29.2735,21.8543,17.4888,15.1104,12.7567
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,recognised_bruttokaltmiete_eur_per_bg,452.4769,380.0613,502.3403,562.7790,600.9998,652.0417,836.4782
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,recognised_bruttokaltmiete_eur_per_sqm,9.6932,9.9279,9.3044,9.2919,9.3850,9.1627,11.0605
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,recognised_heizkosten_eur_per_bg,81.5961,63.7698,91.9174,107.4240,123.2762,148.1684,169.9555
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,recognised_heizkosten_eur_per_sqm,1.6175,1.5513,1.6232,1.7231,1.8072,1.9099,2.1137
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,recognised_kalte_betriebskosten_eur_per_bg,101.1416,81.1530,114.3669,134.0714,149.3712,154.4992,175.7986
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,recognised_kalte_betriebskosten_eur_per_sqm,2.0311,1.9887,2.0391,2.1439,2.1823,2.0062,2.1697
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,recognised_kdu_total_eur_per_bg,534.0730,443.8311,594.2577,670.2030,724.2760,800.2102,1006.4337
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,recognised_kdu_total_eur_per_person,362.0696,443.8311,297.1289,223.4010,181.0690,160.0420,149.5842
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,recognised_kdu_total_eur_per_sqm,11.3108,11.4791,10.9275,11.0150,11.1922,11.0725,13.1742
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,recognised_unterkunftskosten_eur_per_bg,351.3353,298.9083,387.9734,428.7076,451.6286,497.5425,660.6796
2026-04,jobcenter,t03202,"Rostock, Hansestadt, JC",miete,recognised_unterkunftskosten_eur_per_sqm,7.6622,7.9391,7.2653,7.1480,7.2027,7.1565,8.8908
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,actual_bruttokaltmiete_eur_per_bg,445.9689,348.7921,471.9700,545.0264,587.3931,706.8445,953.7071
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,actual_bruttokaltmiete_eur_per_sqm,8.1554,7.9303,8.0540,8.4586,8.0097,8.5037,11.7649
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,actual_heizkosten_eur_per_bg,102.0118,77.4929,110.2242,129.6434,149.7958,163.3025,185.4110
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,actual_heizkosten_eur_per_sqm,1.8652,1.7563,1.8968,2.0310,2.0747,2.1186,2.1221
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,actual_kalte_betriebskosten_eur_per_bg,79.0475,61.4901,84.8476,101.3714,109.3248,125.4351,134.3368
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,actual_kalte_betriebskosten_eur_per_sqm,1.4633,1.4167,1.4721,1.5702,1.5002,1.5767,1.5666
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,actual_kdu_total_eur_per_bg,547.9808,426.2850,582.1942,674.6697,737.1889,870.1470,1139.1181
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,actual_kdu_total_eur_per_person,339.3151,426.2850,291.0971,224.8899,184.2972,174.0294,169.2689
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,actual_kdu_total_eur_per_sqm,10.0206,9.6867,9.9508,10.4897,10.0844,10.6223,13.8870
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,actual_unterkunftskosten_eur_per_bg,366.9215,287.3019,387.1223,443.6549,478.0683,581.4094,819.3703
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,actual_unterkunftskosten_eur_per_sqm,6.6921,6.5137,6.5819,6.8885,6.5095,6.9270,10.1984
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,bg_stock,5635.0000,2941.0000,1295.0000,686.0000,357.0000,193.0000,163.0000
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,bg_stock_with_recognised_kdu,5554.0000,2900.0000,1275.0000,676.0000,349.0000,192.0000,162.0000
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,bg_stock_with_recognised_kdu_and_floor_area,5422.0000,2829.0000,1244.0000,668.0000,343.0000,187.0000,151.0000
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,mean_floor_area_sqm_per_bg,57.6426,46.9325,61.2540,69.0120,76.7988,84.3529,101.6556
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,mean_floor_area_sqm_per_person,36.5691,46.9325,30.6270,23.0040,19.1997,16.8706,15.2249
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,recognised_bruttokaltmiete_eur_per_bg,438.4149,341.4266,463.4495,537.1975,583.3344,699.6630,943.5585
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,recognised_bruttokaltmiete_eur_per_sqm,8.0378,7.7918,7.9379,8.3713,7.9598,8.4325,11.6845
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,recognised_heizkosten_eur_per_bg,101.1530,76.5178,109.3592,129.0753,149.1132,162.6150,184.8867
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,recognised_heizkosten_eur_per_sqm,1.8517,1.7394,1.8846,2.0232,2.0659,2.1110,2.1164
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,recognised_kalte_betriebskosten_eur_per_bg,78.2101,60.5611,84.0759,100.6265,108.5416,124.4172,134.3368
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,recognised_kalte_betriebskosten_eur_per_sqm,1.4468,1.3954,1.4585,1.5608,1.4888,1.5646,1.5666
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,recognised_kdu_total_eur_per_bg,539.5679,417.9444,572.8087,666.2727,732.4477,862.2780,1128.4451
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,recognised_kdu_total_eur_per_person,333.3615,417.9444,286.4043,222.0909,183.1119,172.4556,167.4974
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,recognised_kdu_total_eur_per_sqm,9.8895,9.5312,9.8225,10.3944,10.0258,10.5435,13.8009
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,recognised_unterkunftskosten_eur_per_bg,360.2047,280.8655,379.3736,436.5710,474.7929,575.2458,809.2217
2026-04,jobcenter,t03208,"Landkreis Rostock, JC",miete,recognised_unterkunftskosten_eur_per_sqm,6.5911,6.3964,6.4793,6.8105,6.4710,6.8679,10.1179
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,actual_bruttokaltmiete_eur_per_bg,432.8118,347.4071,456.5999,516.7416,568.6066,634.9820,730.8818
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,actual_bruttokaltmiete_eur_per_sqm,8.3692,8.4627,8.0973,8.5845,8.0736,8.4396,8.4960
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,actual_heizkosten_eur_per_bg,86.6132,64.4878,87.9239,106.5144,128.0876,145.5050,181.8470
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,actual_heizkosten_eur_per_sqm,1.6751,1.6061,1.5884,1.7675,1.8519,2.0080,2.1718
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,actual_kalte_betriebskosten_eur_per_bg,88.6078,67.4943,90.4636,110.6314,126.0007,142.5494,171.0372
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,actual_kalte_betriebskosten_eur_per_sqm,1.7274,1.6852,1.6343,1.8528,1.8332,1.9401,2.0227
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,actual_kdu_total_eur_per_bg,519.4250,411.8948,544.5238,623.2560,696.6942,780.4870,912.7288
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,actual_kdu_total_eur_per_person,318.8696,411.8948,272.2619,207.7520,174.1735,156.0974,137.3582
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,actual_kdu_total_eur_per_sqm,10.0443,10.0688,9.6857,10.3520,9.9255,10.4475,10.6679
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,actual_unterkunftskosten_eur_per_bg,344.2040,279.9128,366.1362,406.1102,442.6059,492.4326,559.8446
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,actual_unterkunftskosten_eur_per_sqm,6.6419,6.7776,6.4630,6.7317,6.2404,6.4995,6.4733
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,bg_stock,5452.0000,2779.0000,1194.0000,695.0000,403.0000,209.0000,172.0000
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,bg_stock_with_recognised_kdu,5381.0000,2735.0000,1177.0000,688.0000,400.0000,209.0000,172.0000
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,bg_stock_with_recognised_kdu_and_floor_area,5331.0000,2699.0000,1170.0000,685.0000,399.0000,206.0000,172.0000
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,mean_floor_area_sqm_per_bg,54.0653,43.3901,57.3308,63.9971,72.4887,79.4466,86.6744
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,mean_floor_area_sqm_per_person,33.3912,43.3901,28.6654,21.3324,18.1222,15.8893,13.0433
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,recognised_bruttokaltmiete_eur_per_bg,421.6560,337.3563,442.4115,506.6160,555.6124,625.2925,721.2799
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,recognised_bruttokaltmiete_eur_per_sqm,8.1922,8.2735,7.8805,8.4608,7.9224,8.3471,8.4058
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,recognised_heizkosten_eur_per_bg,85.9492,63.8411,87.3477,105.0352,127.8157,145.5050,181.8470
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,recognised_heizkosten_eur_per_sqm,1.6630,1.5923,1.5798,1.7441,1.8489,2.0080,2.1718
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,recognised_kalte_betriebskosten_eur_per_bg,87.6510,66.3747,89.3887,109.7189,125.5177,142.5494,171.0372
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,recognised_kalte_betriebskosten_eur_per_sqm,1.7085,1.6597,1.6168,1.8394,1.8276,1.9401,2.0227
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,recognised_kdu_total_eur_per_bg,507.6051,401.1974,529.7592,611.6512,683.4281,770.7975,903.1269
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,recognised_kdu_total_eur_per_person,310.9537,401.1974,264.8796,203.8837,170.8570,154.1595,135.8700
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,recognised_kdu_total_eur_per_sqm,9.8552,9.8658,9.4602,10.2049,9.7713,10.3550,10.5777
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,recognised_unterkunftskosten_eur_per_bg,334.0049,270.9816,353.0228,396.8971,430.0947,482.7431,550.2427
2026-04,jobcenter,t03302,"Schwerin, Landeshauptstadt, JC",miete,recognised_unterkunftskosten_eur_per_sqm,6.4837,6.6138,6.2637,6.6214,6.0948,6.4070,6.3831
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,actual_bruttokaltmiete_eur_per_bg,420.1738,340.5727,439.5368,507.8909,570.8065,609.5956,774.6751
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,actual_bruttokaltmiete_eur_per_sqm,8.2046,8.2469,8.0340,8.0135,7.9816,8.5123,9.7939
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,actual_heizkosten_eur_per_bg,95.3773,74.0886,96.8115,121.6668,141.6107,156.3217,180.4190
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,actual_heizkosten_eur_per_sqm,1.8408,1.7800,1.7779,1.9261,2.0360,2.1870,2.1984
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,actual_kalte_betriebskosten_eur_per_bg,75.8583,58.6080,75.9634,98.0646,112.3644,127.7477,148.4765
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,actual_kalte_betriebskosten_eur_per_sqm,1.5019,1.4662,1.4074,1.5779,1.6354,1.8696,1.8085
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,actual_kdu_total_eur_per_bg,515.5511,414.6613,536.3484,629.5577,712.4172,765.9173,955.0941
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,actual_kdu_total_eur_per_person,324.2300,414.6613,268.1742,209.8526,178.1043,153.1835,139.6286
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,actual_kdu_total_eur_per_sqm,10.0454,10.0269,9.8119,9.9396,10.0176,10.6993,11.9923
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,actual_unterkunftskosten_eur_per_bg,344.3155,281.9647,363.5734,409.8263,458.4421,481.8479,626.1987
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,actual_unterkunftskosten_eur_per_sqm,6.7027,6.7807,6.6266,6.4356,6.3462,6.6427,7.9854
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,bg_stock,4304.0000,2267.0000,947.0000,529.0000,295.0000,146.0000,120.0000
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,bg_stock_with_recognised_kdu,4226.0000,2219.0000,935.0000,520.0000,291.0000,142.0000,119.0000
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,bg_stock_with_recognised_kdu_and_floor_area,4180.0000,2186.0000,929.0000,516.0000,291.0000,141.0000,117.0000
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,mean_floor_area_sqm_per_bg,54.2124,44.4044,57.9214,64.9322,71.9828,76.1206,90.1368
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,mean_floor_area_sqm_per_person,34.4694,44.4044,28.9607,21.6441,17.9957,15.2241,13.3167
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,recognised_bruttokaltmiete_eur_per_bg,410.1177,331.9299,425.6612,497.6073,561.7814,602.6746,763.0057
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,recognised_bruttokaltmiete_eur_per_sqm,8.0405,8.0744,7.8246,7.8858,7.8916,8.4551,9.6749
2026-04,jobcenter,t03304,"Nordwestmecklenburg, JC",miete,recognised_heizkosten_eur_per_bg,92.6935,71.6925,93.9044,117.4551,138.7844,156.0576,178.2629
