parameter,mietenstufe,household_size,value_eur,legal_source,in_force_from,bgbl_reference
base_cap,5,2,680,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,6,2,745,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,7,2,820,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,1,3,521,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,2,3,587,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,3,3,657,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,4,3,737,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,5,3,809,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,6,3,887,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,7,3,975,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,1,4,608,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,2,4,686,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,3,4,766,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,4,4,858,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,5,4,946,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,6,4,1035,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,7,4,1139,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,1,5,694,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,2,5,782,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,3,5,875,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,4,5,982,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,5,5,1080,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,6,5,1183,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap,7,5,1302,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap_additional_member,1,,82,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap_additional_member,2,,94,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap_additional_member,3,,106,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap_additional_member,4,,119,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap_additional_member,5,,129,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap_additional_member,6,,149,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
base_cap_additional_member,7,,163,"Anlage 1 (zu § 12 Absatz 1) WoGG",2025-01-01,"BGBl. 2024 I Nr. 314 (Zweite Verordnung zur Fortschreibung des Wohngeldes nach § 43 WoGG vom 21.10.2024)"
climate_component,,1,19.20,"§ 12 Absatz 7 WoGG",2023-01-01,"BGBl. 2022 I S. 2160 (Wohngeld-Plus-Gesetz vom 05.12.2022)"
climate_component,,2,24.80,"§ 12 Absatz 7 WoGG",2023-01-01,"BGBl. 2022 I S. 2160 (Wohngeld-Plus-Gesetz vom 05.12.2022)"
climate_component,,3,29.60,"§ 12 Absatz 7 WoGG",2023-01-01,"BGBl. 2022 I S. 2160 (Wohngeld-Plus-Gesetz vom 05.12.2022)"
climate_component,,4,34.40,"§ 12 Absatz 7 WoGG",2023-01-01,"BGBl. 2022 I S. 2160 (Wohngeld-Plus-Gesetz vom 05.12.2022)"
climate_component,,5,39.20,"§ 12 Absatz 7 WoGG",2023-01-01,"BGBl. 2022 I S. 2160 (Wohngeld-Plus-Gesetz vom 05.12.2022)"
climate_component_additional_member,,,4.80,"§ 12 Absatz 7 WoGG",2023-01-01,"BGBl. 2022 I S. 2160 (Wohngeld-Plus-Gesetz vom 05.12.2022)"
heating_relief,,1,110.40,"§ 12 Absatz 6 WoGG",2023-01-01,"BGBl. 2022 I S. 2160 (Wohngeld-Plus-Gesetz vom 05.12.2022)"
heating_relief,,2,142.60,"§ 12 Absatz 6 WoGG",2023-01-01,"BGBl. 2022 I S. 2160 (Wohngeld-Plus-Gesetz vom 05.12.2022)"
heating_relief,,3,170.20,"§ 12 Absatz 6 WoGG",2023-01-01,"BGBl. 2022 I S. 2160 (Wohngeld-Plus-Gesetz vom 05.12.2022)"
heating_relief,,4,197.80,"§ 12 Absatz 6 WoGG",2023-01-01,"BGBl. 2022 I S. 2160 (Wohngeld-Plus-Gesetz vom 05.12.2022)"
heating_relief,,5,225.40,"§ 12 Absatz 6 WoGG",2023-01-01,"BGBl. 2022 I S. 2160 (Wohngeld-Plus-Gesetz vom 05.12.2022)"
heating_relief_additional_member,,,27.60,"§ 12 Absatz 6 WoGG",2023-01-01,"BGBl. 2022 I S. 2160 (Wohngeld-Plus-Gesetz vom 05.12.2022)"
